Created,Ticket,Category,Location,Score,Comment,Time lost,Department,Language,Sent Date,Channel,Company,Reassigment Count,Assigment Group ,Priority,Country,CI,Ticket Type,Enterprise,Second Category,Third Category,Region,External Ticket,Top Company,Sub. Company,IT Support Profiles,Extra Data,Referrer URL,Referrer Title,ID,Factor
2020/04/15,,,Thorpe,9,Decentralized transitional portal,647,Movies,Hindi,5/27/2020,,,3,,,GB,Stim,,,,,,,,,,,,,4295,Nulla tellus. In sagittis dui vel nisl.
2020/08/02,,,Church End,10,Sharable 3rd generation encryption,1779,Music,Bulgarian,3/26/2020,,,9,,,GB,Sonsing,,,,,,,,,,,,,2556,Nulla suscipit ligula in lacus.
2019/12/12,,,London,6,Networked local matrix,2018,Health,Hungarian,10/23/2019,,,11,,,GB,Redhold,,,,,,,,,,,,,514,Suspendisse accumsan tortor quis turpis. Sed ante.
2019/12/10,,,Sutton,6,Switchable grid-enabled capacity,3547,Industrial,Malayalam,8/3/2019,,,4,,,GB,Voyatouch,,,,,,,,,,,,,2718,Pellentesque at nulla.
2019/10/31,,,Whitchurch,10,Streamlined 4th generation system engine,2606,Jewelery,Marathi,12/21/2019,,,3,,,GB,Zoolab,,,,,,,,,,,,,2468,Integer a nibh. In quis justo.
2020/04/02,,,Thorpe,2,Profound directional synergy,3398,Computers,Italian,10/10/2019,,,9,,,GB,Konklux,,,,,,,,,,,,,3904,Praesent blandit lacinia erat.
2020/08/30,,,Walton,2,Profit-focused scalable budgetary management,1457,Games,Amharic,8/20/2020,,,8,,,GB,Trippledex,,,,,,,,,,,,,1694,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
2020/01/13,,,Kingston,2,Stand-alone tangible data-warehouse,1472,Outdoors,Estonian,7/1/2020,,,8,,,GB,Y-find,,,,,,,,,,,,,2850,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
2020/05/03,,,Craigavon,1,Configurable intangible collaboration,2367,Beauty,Dhivehi,9/22/2019,,,4,,,GB,Flexidy,,,,,,,,,,,,,4567,Donec vitae nisi.
2020/01/01,,,Aston,6,Right-sized upward-trending help-desk,1304,Sports,Korean,10/6/2019,,,4,,,GB,Stringtough,,,,,,,,,,,,,2733,Curabitur in libero ut massa volutpat convallis.
2020/08/30,,,Birmingham,3,Right-sized multi-state contingency,2855,Grocery,Luxembourgish,5/23/2020,,,13,,,GB,Konklux,,,,,,,,,,,,,1350,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
2020/05/12,,,Birmingham,5,Configurable methodical productivity,201,Kids,Kazakh,1/31/2020,,,4,,,GB,Prodder,,,,,,,,,,,,,415,Duis mattis egestas metus. Aenean fermentum.
2020/02/23,,,Burnside,3,Public-key next generation hierarchy,2612,Health,Amharic,7/28/2020,,,6,,,GB,Toughjoyfax,,,,,,,,,,,,,2311,Aliquam non mauris.
2020/05/19,,,Eaton,7,Ergonomic transitional analyzer,3019,Health,Finnish,6/6/2020,,,9,,,GB,Zaam-Dox,,,,,,,,,,,,,2115,Duis mattis egestas metus.
2019/09/27,,,Stapleford,2,Ameliorated system-worthy open architecture,1714,Outdoors,Sotho,7/23/2020,,,8,,,GB,Fix San,,,,,,,,,,,,,2428,Nulla mollis molestie lorem. Quisque ut erat.
2020/01/13,,,Craigavon,1,Fundamental radical database,1254,Movies,Pashto,7/15/2020,,,2,,,GB,It,,,,,,,,,,,,,800,Ut tellus. Nulla ut erat id mauris vulputate elementum.
2019/11/20,,,Stapleford,6,Integrated client-server neural-net,1856,Home,Irish Gaelic,7/13/2020,,,5,,,GB,Lotstring,,,,,,,,,,,,,772,Aenean lectus.
2020/08/11,,,West End,2,Phased high-level policy,384,Shoes,Tswana,4/4/2020,,,3,,,GB,Treeflex,,,,,,,,,,,,,1988,Suspendisse accumsan tortor quis turpis.
2020/04/23,,,Weston,10,Business-focused zero defect attitude,2849,Jewelery,Montenegrin,7/31/2020,,,13,,,GB,Hatity,,,,,,,,,,,,,4204,Donec dapibus.
2019/10/27,,,London,8,Multi-layered interactive methodology,2804,Sports,Kashmiri,8/30/2019,,,15,,,GB,Stringtough,,,,,,,,,,,,,2035,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
2020/03/31,,,Birmingham,6,Configurable leading edge Graphic Interface,3428,Sports,Assamese,5/8/2020,,,12,,,GB,Ronstring,,,,,,,,,,,,,1584,Aliquam non mauris.
2020/03/30,,,Wirral,6,De-engineered object-oriented knowledge base,1406,Music,Armenian,8/11/2020,,,4,,,GB,Zontrax,,,,,,,,,,,,,3981,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
2020/06/24,,,Stapleford,9,Exclusive fault-tolerant project,4410,Tools,New Zealand Sign Language,9/24/2019,,,11,,,GB,Vagram,,,,,,,,,,,,,4080,Nullam sit amet turpis elementum ligula vehicula consequat.
2020/05/18,,,Aberdeen,3,Multi-lateral incremental database,1876,Sports,Kazakh,2/20/2020,,,5,,,GB,Sonsing,,,,,,,,,,,,,1302,Pellentesque ultrices mattis odio. Donec vitae nisi.
2020/05/15,,,Upton,9,Future-proofed bandwidth-monitored benchmark,3595,Health,Punjabi,4/26/2020,,,15,,,GB,Treeflex,,,,,,,,,,,,,2223,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
2020/08/02,,,Glasgow,3,Customer-focused homogeneous service-desk,2050,Books,Japanese,10/28/2019,,,2,,,GB,Greenlam,,,,,,,,,,,,,3125,Maecenas rhoncus aliquam lacus.
2020/08/22,,,Wirral,2,Streamlined regional infrastructure,2071,Movies,Northern Sotho,5/1/2020,,,9,,,GB,Trippledex,,,,,,,,,,,,,466,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
2020/03/08,,,Birmingham,9,Up-sized 5th generation array,689,Kids,Finnish,6/21/2020,,,6,,,GB,Quo Lux,,,,,,,,,,,,,1613,Nulla nisl.
2020/06/19,,,Carlton,9,Automated 5th generation algorithm,2082,Jewelery,Norwegian,4/25/2020,,,1,,,GB,Andalax,,,,,,,,,,,,,4733,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
2019/12/02,,,Craigavon,5,Mandatory leading edge pricing structure,2049,Garden,Chinese,11/21/2019,,,10,,,GB,Temp,,,,,,,,,,,,,2114,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
2020/07/04,,,Denton,10,Virtual full-range leverage,1137,Shoes,Irish Gaelic,7/11/2020,,,1,,,GB,Domainer,,,,,,,,,,,,,484,Maecenas pulvinar lobortis est.
2020/02/22,,,Walton,8,Automated analyzing forecast,4284,Tools,Malagasy,5/15/2020,,,0,,,GB,Tempsoft,,,,,,,,,,,,,776,Duis ac nibh.
2020/09/02,,,Eaton,7,Triple-buffered asynchronous emulation,3839,Beauty,Estonian,1/31/2020,,,1,,,GB,Opela,,,,,,,,,,,,,3990,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
2020/06/05,,,Preston,4,Persevering secondary instruction set,1390,Computers,English,12/24/2019,,,10,,,GB,Vagram,,,,,,,,,,,,,688,Quisque id justo sit amet sapien dignissim vestibulum.
2019/08/01,,,Thorpe,8,Business-focused real-time alliance,1122,Garden,Portuguese,11/23/2019,,,1,,,GB,Cardguard,,,,,,,,,,,,,4323,Proin risus.
2020/05/07,,,Edinburgh,8,Triple-buffered full-range knowledge base,3152,Sports,Lithuanian,11/24/2019,,,10,,,GB,Redhold,,,,,,,,,,,,,4920,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
2019/10/30,,,London,3,Enterprise-wide dedicated superstructure,4841,Books,Punjabi,7/16/2020,,,15,,,GB,Cookley,,,,,,,,,,,,,17,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
2020/03/14,,,Normanton,3,Networked coherent conglomeration,281,Industrial,Dhivehi,1/28/2020,,,1,,,GB,Tresom,,,,,,,,,,,,,4804,Morbi non quam nec dui luctus rutrum. Nulla tellus.
2019/08/08,,,Sutton,9,User-friendly multi-tasking emulation,981,Garden,Japanese,12/4/2019,,,1,,,GB,Sonair,,,,,,,,,,,,,312,Vivamus tortor.
2019/11/29,,,Burnside,6,Automated bi-directional hub,4515,Sports,Macedonian,1/8/2020,,,9,,,GB,Bitwolf,,,,,,,,,,,,,4772,Nulla tellus. In sagittis dui vel nisl.
2020/03/28,,,Pentre,1,Extended full-range Graphical User Interface,1877,Home,Nepali,11/7/2019,,,5,,,GB,Fixflex,,,,,,,,,,,,,3034,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
2020/02/01,,,East End,10,Enterprise-wide needs-based conglomeration,820,Outdoors,Greek,10/28/2019,,,15,,,GB,Toughjoyfax,,,,,,,,,,,,,2505,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
2019/11/04,,,Halton,8,Robust grid-enabled framework,2625,Sports,Croatian,2/18/2020,,,7,,,GB,Toughjoyfax,,,,,,,,,,,,,2490,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
2020/04/14,,,Birmingham,4,Integrated demand-driven open system,4700,Outdoors,Estonian,1/7/2020,,,15,,,GB,Bitchip,,,,,,,,,,,,,1397,Duis at velit eu est congue elementum.
2020/06/27,,,Bristol,6,Progressive didactic structure,4565,Computers,Kurdish,10/3/2019,,,0,,,GB,Latlux,,,,,,,,,,,,,2298,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
2020/01/29,,,Newtown,5,Devolved context-sensitive firmware,649,Industrial,Mongolian,2/18/2020,,,12,,,GB,Home Ing,,,,,,,,,,,,,4907,Nullam molestie nibh in lectus. Pellentesque at nulla.
2020/05/02,,,London,6,Multi-channelled eco-centric hardware,2236,Movies,Catalan,12/24/2019,,,9,,,GB,Daltfresh,,,,,,,,,,,,,246,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
2020/03/19,,,Aberdeen,3,Programmable eco-centric instruction set,4048,Baby,Swati,10/9/2019,,,7,,,GB,Bitchip,,,,,,,,,,,,,360,Nam nulla.
2019/08/21,,,Middleton,5,Automated multimedia complexity,2353,Home,Māori,3/1/2020,,,8,,,GB,Job,,,,,,,,,,,,,4050,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
2020/04/25,,,Newton,8,Switchable 5th generation groupware,4812,Outdoors,Japanese,6/1/2020,,,14,,,GB,Alphazap,,,,,,,,,,,,,3357,Proin risus. Praesent lectus.
2020/07/10,,,Norton,9,Exclusive modular functionalities,4518,Garden,Chinese,4/3/2020,,,13,,,GB,Fintone,,,,,,,,,,,,,2532,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
2019/12/15,,,Whitchurch,6,Realigned bottom-line neural-net,820,Electronics,Swahili,4/7/2020,,,6,,,GB,Job,,,,,,,,,,,,,3070,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
2020/05/14,,,East End,10,Centralized demand-driven neural-net,2674,Sports,Japanese,7/13/2020,,,10,,,GB,Fintone,,,,,,,,,,,,,4997,Quisque ut erat.
2019/10/15,,,Norton,10,Assimilated system-worthy support,1862,Books,Papiamento,2/29/2020,,,9,,,GB,Otcom,,,,,,,,,,,,,2436,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
2020/03/04,,,Charlton,6,Balanced multi-state process improvement,3884,Baby,Bengali,10/16/2019,,,1,,,GB,Fix San,,,,,,,,,,,,,451,In hac habitasse platea dictumst.
2020/05/16,,,Thorpe,1,Cross-group clear-thinking budgetary management,4368,Shoes,Burmese,7/23/2020,,,6,,,GB,Cookley,,,,,,,,,,,,,1330,Suspendisse potenti. Nullam porttitor lacus at turpis.
2020/04/30,,,London,5,Total disintermediate pricing structure,4883,Beauty,Yiddish,1/2/2020,,,3,,,GB,Solarbreeze,,,,,,,,,,,,,2043,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
2019/10/18,,,London,9,Stand-alone local task-force,2270,Beauty,Assamese,8/1/2019,,,9,,,GB,Fix San,,,,,,,,,,,,,3280,Proin eu mi. Nulla ac enim.
2020/07/24,,,Ashley,4,Centralized maximized moratorium,4251,Baby,Yiddish,7/9/2020,,,0,,,GB,Voyatouch,,,,,,,,,,,,,396,Donec ut dolor.
2020/04/16,,,Carlton,1,Multi-lateral executive monitoring,2667,Clothing,German,11/5/2019,,,1,,,GB,Stringtough,,,,,,,,,,,,,2116,Nunc rhoncus dui vel sem.
2020/07/25,,,Carlton,8,Multi-layered multimedia matrix,2491,Tools,Portuguese,8/10/2020,,,4,,,GB,Sub-Ex,,,,,,,,,,,,,326,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
2020/01/10,,,London,2,Customer-focused even-keeled intranet,2146,Kids,Bislama,7/6/2020,,,8,,,GB,Zontrax,,,,,,,,,,,,,4310,Aliquam quis turpis eget elit sodales scelerisque.
2020/03/14,,,Aberdeen,4,Open-architected fault-tolerant customer loyalty,2065,Computers,Hiri Motu,7/9/2020,,,9,,,GB,Duobam,,,,,,,,,,,,,4888,Phasellus id sapien in sapien iaculis congue.
2020/05/04,,,Church End,2,Progressive hybrid intranet,1921,Toys,Romanian,12/11/2019,,,7,,,GB,Matsoft,,,,,,,,,,,,,3455,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
2020/05/05,,,Whitchurch,8,Optimized heuristic neural-net,4809,Jewelery,Romanian,12/16/2019,,,4,,,GB,Mat Lam Tam,,,,,,,,,,,,,1247,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
2020/09/02,,,Kinloch,9,Mandatory analyzing instruction set,3529,Clothing,Khmer,12/14/2019,,,5,,,GB,Tresom,,,,,,,,,,,,,2597,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
2019/10/12,,,Church End,5,Programmable object-oriented superstructure,28,Clothing,Tetum,12/9/2019,,,12,,,GB,Vagram,,,,,,,,,,,,,1591,Nullam molestie nibh in lectus.
2020/04/11,,,Thorpe,6,De-engineered global software,1763,Movies,Dhivehi,10/2/2019,,,7,,,GB,Tampflex,,,,,,,,,,,,,3472,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
2020/06/15,,,Norton,4,Realigned high-level software,2987,Health,Bislama,1/29/2020,,,14,,,GB,Rank,,,,,,,,,,,,,1346,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
2020/01/03,,,Church End,10,Cloned incremental toolset,3459,Shoes,Portuguese,1/8/2020,,,15,,,GB,Quo Lux,,,,,,,,,,,,,2358,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
2020/07/24,,,Milton,2,Persistent responsive solution,3699,Books,Thai,12/8/2019,,,10,,,GB,Cardify,,,,,,,,,,,,,4198,Quisque ut erat.
2020/03/03,,,Brampton,4,Distributed scalable capacity,3628,Clothing,Montenegrin,9/9/2019,,,13,,,GB,Mat Lam Tam,,,,,,,,,,,,,125,Pellentesque viverra pede ac diam.
2019/08/28,,,Walton,9,Implemented static support,3388,Games,Hindi,7/19/2020,,,15,,,GB,Subin,,,,,,,,,,,,,383,Nulla tellus.
2019/09/07,,,Wootton,8,Up-sized static approach,1609,Books,English,6/6/2020,,,6,,,GB,It,,,,,,,,,,,,,3626,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
2019/11/19,,,Kinloch,4,Fundamental national toolset,2702,Health,French,7/21/2020,,,10,,,GB,Stronghold,,,,,,,,,,,,,2226,Donec semper sapien a libero.
2020/07/22,,,Church End,9,Universal attitude-oriented contingency,4821,Jewelery,Hungarian,9/6/2019,,,6,,,GB,Stim,,,,,,,,,,,,,1449,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
2019/12/27,,,Pentre,4,Customizable well-modulated toolset,1398,Clothing,Gujarati,8/26/2020,,,15,,,GB,Zaam-Dox,,,,,,,,,,,,,920,Nullam molestie nibh in lectus. Pellentesque at nulla.
2020/07/06,,,Leeds,5,Balanced bi-directional utilisation,2387,Tools,Lithuanian,4/6/2020,,,13,,,GB,Toughjoyfax,,,,,,,,,,,,,303,Donec posuere metus vitae ipsum.
2019/11/17,,,Aberdeen,5,Versatile neutral function,3700,Clothing,Swati,8/25/2019,,,0,,,GB,Home Ing,,,,,,,,,,,,,2848,Donec posuere metus vitae ipsum.
2020/07/15,,,Denton,3,Up-sized disintermediate solution,1931,Electronics,Malay,4/5/2020,,,13,,,GB,Keylex,,,,,,,,,,,,,161,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
2020/01/31,,,Hatton,7,Fundamental responsive function,860,Industrial,Tamil,8/22/2019,,,15,,,GB,Bigtax,,,,,,,,,,,,,2380,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
2020/03/08,,,London,4,Cloned dynamic artificial intelligence,2139,Toys,Luxembourgish,8/30/2019,,,5,,,GB,Rank,,,,,,,,,,,,,607,Integer ac leo. Pellentesque ultrices mattis odio.
2020/08/15,,,Upton,1,Mandatory system-worthy forecast,1869,Beauty,Dzongkha,9/11/2019,,,4,,,GB,Konklab,,,,,,,,,,,,,3513,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
2020/05/13,,,Kingston,1,Progressive tangible utilisation,1847,Home,Malagasy,8/29/2019,,,15,,,GB,Job,,,,,,,,,,,,,4265,Morbi non quam nec dui luctus rutrum.
2020/05/27,,,Seaton,9,Switchable mobile productivity,4948,Outdoors,Moldovan,3/3/2020,,,7,,,GB,Cardguard,,,,,,,,,,,,,851,Nullam molestie nibh in lectus.
2020/05/27,,,Norton,9,Open-source leading edge data-warehouse,4208,Clothing,Latvian,9/8/2019,,,5,,,GB,Sonair,,,,,,,,,,,,,1100,Donec posuere metus vitae ipsum.
2019/08/12,,,Craigavon,2,Function-based real-time workforce,4561,Grocery,Portuguese,2/10/2020,,,11,,,GB,Flowdesk,,,,,,,,,,,,,544,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
2019/11/24,,,Newbiggin,4,Compatible asynchronous hierarchy,1100,Clothing,Azeri,4/12/2020,,,7,,,GB,Kanlam,,,,,,,,,,,,,1104,Aliquam erat volutpat.
